,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
21,52.0,49.0,202.5,176.0,137.0,1.0,21.5,137.5,237.0,280.5,584.0,242.0,365.5,57.5,177.5,145.5,19.5,351.5,297.0,314.0,224.5,14.0,197.5,11.0,4.5,41.5,109.0,655.0,255.5,1475.5,132.0,48.5,99.5,126.5,165.0,187.5,17.0,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,152.0,251.0,121.0,67.5,1311.5,59.5,445.5,3641.5,535.5,212.0,36.5,123.0,686.0,88.0,128.0,221.5,263.0,30.0,94.0,345.0,466.5,38.0,124.0,438.0,1460.5,269.0,142.0,56.0,273.5,650.5,175.0,107.0,543.5,144.5,235.0,41.5,71.0,69.5,8.0,172.0,128.0,78.0,58.5,10.5,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,21.0,220.0,1270.0,7.0,2494.5,498.5,170.5,225.5,187.5,310.5,11.5,357.5,131.5,221.5,409.0,442.5,215.5,20.0,17.5,105.0,751.0,44.5,109.0,27.5,224.0,172.5,199.5,197.0,366.5,360.5,104.0,15.5,58.0,212.0,91.0,638.5,160.5,4.0,64.0,21.5,126.5,193.0,213.0,159.0,39.0,661.5,162.0,329.5,182.5,2329.0,315.0,25.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3.0,103.5,104.0,130.5,16.0,2.0,56.5,1.0,100.5,34.5,106.5,180.0,450.5,358.0,14.0,1.0,346.0,108.0,331.0,214.0,239.0,23.5,49.5,120.0,271.0,520.0,189.5,122.0,14.5,229.0,144.0,111.5,408.5,133.0,27.0,3.0,46.0,6.5,85.5,143.0,13.5,4.0,88.5,36.0,6.5,45.5,10.5,262.5,6.5,2050.0,186.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,44.0,134.5,48.5,200.0,23.5,2.5,45.0,346.5,31.0,37.5,225.0,76.5,400.5,430.5,155.0,258.0,1805.0,242.0,128.0,519.0,335.0,131.5,493.0,67.5,4.0,14.0,5212.5,13.0,5.5,4376.5,58.5,4697.5,5.0,104.0,237.0,5188.5,284.0,107.0,154.0,50.5,263.5,6.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,5.5,93.5,55.0,20.5,508.0,57.0,9.0,70.5,181.0,84.0,585.0,119.5,138.5,240.5,13.5,461.5,1.0,115.5,8591.5,217.0,699.5,131.5,174.5,287.0,45.0,223.0,279.5,129.0,90.0,135.5,75.5,188.5,252.0,67.5,86.5,231.0,111.0,141.0,214.5,142.5,3.0,226.0,7.0,238.0,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28.0,253.5,299.5,340.0,914.5,372.0,368.5,172.5,271.0,137.5,317.0,224.5,57.0,1449.0,215.5,3.5,57.5,180.5,405.0,209.5,262.5,223.5,27.5,338.0,931.0,30.5,38.0,260.5,54.5,21.0,417.0,41.5,35.5,951.5,192.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,10.0,222.0,223.5,261.0,168.5,291.5,265.5,217.0,163.5,67.5,417.0,296.0,94.5,252.5,213.0,165.5,24.0,161.5,3.5,327.0,221.0,3.5,153.0,20.0,4.0,173.0,20.0,275.5,32.0,172.0,49.0,4.0,67.0,323.0,92.5,363.5,136.5,276.0,199.5,127.0,91.0,146.5,331.0,252.5,30.5,319.5,101.5,33.0,35.0,11.0,198.5,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,74.0,124.0,93.5,187.0,407.0,129.0,0.5,317.5,176.0,519.5,324.0,162.0,239.5,300.5,132.0,1197.0,178.0,3152.0,1536.0,1062.5,199.0,515.0,490.0,1440.5,156.0,602.0,168.0,47.0,1.0,102.5,6.5,78.5,173.0,0.5,1153.5,231.0,10.0,272.5,218.5,295.0,63.5,124.0,63.5,152.5,27.0,107.5,237.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,42.5,54.5,0.5,113.5,67.0,755.5,497.0,177.5,256.0,342.0,152.5,165.0,26.0,113.5,3215.0,21.0,12.0,180.5,125.0,129.0,23.5,32.5,380.5,156.5,183.5,244.0,255.5,892.5,111.0,81.0,15.5,21.5,13.5,108.0,30.5,285.5,3338.5,235.0,108.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,81.0,173.5,573.5,287.5,233.0,762.5,339.5,237.5,608.5,135.5,340.0,930.5,76.0,3.0,210.0,134.5,80.0,741.0,261.0,25.5,28.0,162.5,83.5,342.0,266.5,7.5,62.0,11.5,12.5,150.0,277.5,35.0,55.0,296.5,122.0,2529.5,136.5,204.5,1.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,18.0,59.0,231.5,1.5,45.0,77.5,1.5,2.0,99.5,150.5,155.5,117.5,196.5,105.0,314.0,214.0,230.0,5464.0,150.0,360.5,140.0,359.5,164.5,66.5,287.0,69.5,139.5,261.0,264.5,125.0,32.0,16.5,118.5,29.0,168.5,171.5,320.0,105.0,53.5,310.5,20.0,61.5,248.0,69.0,153.5,82.5,136.0,691.0,371.0,240.0,181.5,17.5,195.5,588.0,186.5,223.5,146.0,3337.0,146.5,,,,,,,,,,,,,,,,,,,,,,
33,132.5,243.5,3.0,114.5,331.0,7.5,256.5,80.5,2326.0,1893.5,303.0,1.5,61.5,74.5,208.0,280.5,108.0,134.5,488.5,56.0,2157.0,777.5,643.5,102.5,340.0,75.5,192.5,58.0,94.5,172.0,468.5,6.5,282.0,10.0,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,600.0,13.0,384.5,736.5,237.0,135.0,92.5,228.5,427.5,168.5,440.0,52.0,954.5,118.0,767.5,412.0,62.5,438.0,511.5,171.5,131.5,295.0,179.0,1.5,30.0,34.0,206.0,945.5,305.0,74.5,293.5,278.5,157.0,3.5,906.0,109.0,109.0,25.0,61.5,232.5,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,56.5,612.5,203.5,232.0,861.5,101.0,1418.0,334.0,135.0,324.5,165.5,134.5,40.5,201.0,369.0,105.5,78.5,411.5,251.0,214.5,230.5,76.5,36.0,139.5,126.5,1.0,65.5,175.5,3.5,72.0,3.0,126.5,5.5,76.0,86.0,483.0,8.5,673.5,9.5,8.5,8.0,1253.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
